id,name,addr,city,phone,type,class
202,fleur de lys,777 sutter st.,san francisco,415-673-7779,french (new),'100'
208,khan toke thai house,5937 geary blvd.,san francisco,415-668-6654,thai,'103'
214,masa's,648 bush st.,san francisco,415-989-7154,french (new),'106'
220,postrio,545 post st.,san francisco,415-776-7825,californian,'109'
226,barney greengrass,9570 wilshire blvd.,beverly hills,310/777-5877,american,'113'
232,ca'del sol,4100 cahuenga blvd.,los angeles,818/985-4669,italian,'119'
238,chan dara,310 n. larchmont blvd.,los angeles,213/467-1052,asian,'125'
244,dynasty room,930 hilgard ave.,los angeles,310/208-8765,continental,'131'
250,hard rock cafe,8600 beverly blvd.,los angeles,310/276-7605,american,'137'
256,joss,9255 sunset blvd.,los angeles,310/276-1886,asian,'143'
262,nate 'n' al's,414 n. beverly dr.,los angeles,310/274-0101,american,'149'
268,pinot hollywood,1448 n. gower st.,los angeles,213/461-8800,californian,'155'
274,roscoe's house of chicken 'n' waffles,1514 n. gower st.,los angeles,213/466-9329,american,'161'
280,tommy tang's,7313 melrose ave.,los angeles,213/937-5733,asian,'167'
286,9 jones street,9 jones st.,new york,212/989-1220,american,'173'
292,ambassador grill,1 united nations plaza at 44th st.,new york,212/702-5014,american,'179'
298,bar anise,1022 3rd ave.  between 60th and 61st sts.,new york,212/355-1112,mediterranean,'185'
304,bolo,23 e. 22nd st.,new york,212/228-2200,mediterranean,'191'
310,c3,103 waverly pl.  near washington sq.,new york,212/254-1200,american,'197'
316,cafe pierre,2 e. 61st st.,new york,212/940-8185,french,'203'
322,caffe reggio,119 macdougal st.  between 3rd and bleecker sts.,new york,212/475-9557,coffee bar,'209'
328,casa la femme,150 wooster st.  between houston and prince sts.,new york,212/505-0005,middle eastern,'215'
334,coco pazzo,23 e. 74th st.,new york,212/794-0205,italian,'221'
340,diva,341 w. broadway  near grand st.,new york,212/941-9024,italian,'227'
346,empire korea,6 e. 32nd st.,new york,212/725-1333,asian,'233'
352,fifty seven fifty seven,57 e. 57th st.,new york,212/758-5757,american,'239'
358,fleur de jour,348 e. 62nd st.,new york,212/355-2020,coffee bar,'245'
364,frico bar,402 w. 43rd st.  off 9th ave.,new york,212/564-7272,italian,'251'
370,global,33 93 2nd ave.  between 5th and 6th sts.,new york,212/477-8427,american,'257'
376,home,20 cornelia st.  between bleecker and w. 4th st.,new york,212/243-9579,american,'263'
382,indochine,430 lafayette st.  between 4th st. and astor pl.,new york,212/505-5111,asian,'269'
388,joe allen,326 w. 46th st.,new york,212/581-6464,american,'275'
394,la reserve,4 w. 49th st.,new york,212/247-2993,french,'281'
400,le gamin,50 macdougal st.  between houston and prince sts.,new york,212/254-4678,coffee bar,'287'
406,les halles,411 park ave. s  between 28th and 29th sts.,new york,212/679-4111,french,'293'
412,mangia e bevi,800 9th ave. at 53rd st.,new york,212/956-3976,italian,'299'
418,matthew's,1030 3rd ave. at 61st st.,new york,212/838-4343,american,'305'
424,motown cafe,104 w. 57th st.  near 6th ave.,new york,212/581-8030,american,'311'
430,osteria al droge,142 w. 44th st.,new york,212/944-3643,italian,'317'
436,patria,250 park ave. s at 20th st.,new york,212/777-6211,latin american,'323'
442,pomaire,371 w. 46th st.  off 9th ave.,new york,212/ 956-3055,latin american,'329'
448,republic,37a union sq. w  between 16th and 17th sts.,new york,212/627-7172,asian,'335'
454,sammy's roumanian steak house,157 chrystie st. at delancey st.,new york,212/673-0330,east european,'341'
460,seventh regiment mess and bar,643 park ave. at 66th st.,new york,212/744-4107,american,'347'
466,stingray,428 amsterdam ave.  between 80th and 81st sts.,new york,212/501-7515,seafood,'353'
472,terrace,400 w. 119th st.  between amsterdam and morningside aves.,new york,212/666-9490,continental,'359'
478,trois jean,154 e. 79th st.  between lexington and 3rd aves.,new york,212/988-4858,coffee bar,'365'
484,victor's cafe,52 236 w. 52nd st.,new york,212/586-7714,latin american,'371'
490,zen palate,34 union sq. e at 16th st.,new york,212/614-9291,and 212/614-9345 asian,'377'
496,atlanta fish market,265 pharr rd.,atlanta,404/262-3165,american,'383'
502,cassis,3300 peachtree rd.  grand hyatt,atlanta,404/365-8100,mediterranean,'389'
508,fat matt's rib shack,1811 piedmont ave.  near cheshire bridge rd.,atlanta,404/607-1622,barbecue,'395'
514,kamogawa,3300 peachtree rd.  grand hyatt,atlanta,404/841-0314,asian,'401'
520,mckinnon's louisiane,3209 maple dr.,atlanta,404/237-1313,southern,'407'
526,r.j.'s uptown kitchen & wine bar,870 n. highland ave.,atlanta,404/875-7775,american,'413'
532,stringer's fish camp and oyster bar,3384 shallowford rd.  chamblee,atlanta,770/458-7145,southern,'419'
538,bamboo garden,4850 flamingo rd.,las vegas,702/871-3262,asian,'425'
544,bugsy's diner,3555 las vegas blvd. s,las vegas,702/733-3111,coffee shops/diners,'431'
550,circus circus,2880 las vegas blvd. s,las vegas,702/734-0410,buffets,'437'
556,mandarin court,1510 e. flamingo rd.,las vegas,702/737-1234,asian,'443'
562,the bacchanal,3570 las vegas blvd. s,las vegas,702/731-7525,only in las vegas,'449'
568,bardelli's,243 o'farrell st.,san francisco,415/982-0243,old san francisco,'455'
574,cafe adriano,3347 fillmore st.,san francisco,415/474-4180,italian,'461'
580,cypress club,500 jackson st.,san francisco,415/296-8555,american,'467'
586,grand cafe hotel monaco,501 geary st.,san francisco,415/292-0101,american,'473'
592,helmand,430 broadway,san francisco,415/362-0641,greek and middle eastern,'479'
598,jack's,615 sacramento st.,san francisco,415/986-9854,old san francisco,'485'
604,le central,453 bush st.,san francisco,415/391-2233,french,'491'
610,millennium,246 mcallister st.,san francisco,415/487-9800,vegetarian,'497'
616,palio d'asti,640 sacramento st.,san francisco,415/395-9800,italian,'503'
622,rumpus,1 tillman pl.,san francisco,415/421-2300,american,'509'
628,stars cafe,500 van ness ave.,san francisco,415/861-4344,american,'515'
634,thepin,298 gough st.,san francisco,415/863-9335,asian,'521'
640,wu kong,101 spear st.,san francisco,415/957-9300,asian,'527'
646,apple pan  the,10801 w. pico blvd.,west la,310-475-3585,american,'534'
652,bistro 45,45 s. mentor ave.,pasadena,818-795-2478,californian,'540'
658,cafe blanc,9777 little santa monica blvd.,beverly hills,310-888-0108,pacific new wave,'546'
664,falafel king,1059 broxton ave.,westwood,310-208-4444,middle eastern,'552'
670,jiraffe,502 santa monica blvd,santa monica,310-917-6671,californian,'558'
676,johnny rockets (la),7507 melrose ave.,la,213-651-3361,american,'564'
682,la serenata de garibaldi,1842 e. first,st. boyle hts.,213-265-2887,mexican/tex-mex,'570'
688,maxwell's cafe,13329 washington blvd.,marina del rey,310-306-7829,american,'576'
694,ocean star,145 n. atlantic blvd.,monterey park,818-308-2128,seafood,'582'
700,r-23,923 e. third st.,los angeles,213-687-7178,japanese,'588'
706,shiro,1505 mission st. s.,pasadena,818-799-4774,pacific new wave,'594'
712,water grill,544 s. grand ave.,los angeles,213-891-0900,seafood,'600'
718,corner bistro,331 w. fourth st.,new york city,212-242-9502,hamburgers,'606'
724,elias corner,24-02 31st st.,queens,718-932-1510,greek,'612'
730,john's pizzeria,48 w. 65th st.,new york city,212-721-7001,pizza,'618'
736,lemongrass grill,61a seventh ave.,brooklyn,718-399-7100,thai,'624'
742,moustache,405 atlantic ave.,brooklyn,718-852-5555,middle eastern,'630'
748,patsy's pizza,19 old fulton st.,brooklyn,718-858-4300,pizza,'636'
754,stick to your ribs,5-16 51st ave.,queens,718-937-3030,bbq,'642'
760,thai house cafe,151 hudson st.,new york city,212-334-1085,thai,'648'
766,yama,122 e. 17th st.,new york city,212-475-0969,japanese,'654'
772,fiore rotisserie & grille,3700 w. flamingo rd.,las vegas,702-252-7702,italian,'660'
778,moongate,3400 las vegas blvd. s.,las vegas,702-791-7352,chinese,'666'
784,stefano's,129 fremont st.,las vegas,702-385-7111,italian,'672'
790,barbecue kitchen,1437 virginia ave.,atlanta,404-766-9906,bbq,'678'
796,canoe,4199 paces ferry rd.,atlanta,770-432-2663,american (new),'684'
802,eats,600 ponce de leon ave.,atlanta,404-888-9149,italian,'690'
808,house of chan,2469 cobb pkwy.,smyrna,770-955-9444,chinese,'696'
814,lettuce souprise you (at),3525 mall blvd.,duluth,770-418-9969,cafeterias,'702'
820,original pancake house (at),4330 peachtree rd.,atlanta,404-237-4116,american,'708'
826,soto,3330 piedmont rd.,atlanta,404-233-2005,japanese,'714'
832,zab-e-lee,4837 old national hwy.,college park,404-768-2705,thai,'720'
838,doidge's,2217 union st.,san francisco,415-921-2149,american,'726'
844,hamburger mary's,1582 folsom st.,san francisco,415-626-1985,hamburgers,'732'
850,marnee thai,2225 irving st.,san francisco,415-665-9500,thai,'738'
856,san francisco bbq,1328 18th st.,san francisco,415-431-8956,thai,'744'
862,tu lan,8 sixth st.,san francisco,415-626-0927,vietnamese,'750'
