id,name,addr,city,phone,type,class
651,bernard's,515 s. olive st.,los angeles,213-612-1580,continental,'539'
657,cafe '50s,838 lincoln blvd.,venice,310-399-1955,american,'545'
663,duke's,8909 sunset blvd.,w. hollywood,310-652-3100,coffee shops,'551'
669,jan's family restaurant,8424 beverly blvd.,la,213-651-2866,coffee shops,'557'
675,johnny reb's southern smokehouse,4663 long beach blvd.,long beach,310-423-7327,southern/soul,'563'
681,la salsa (la),22800 pch,malibu,310-456-6299,mexican,'569'
687,martha's,22nd street grill 25 22nd,st. hermosa beach,310-376-7786,american,'575'
693,ocean park cafe,3117 ocean park blvd.,santa monica,310-452-5728,american,'581'
699,poquito mas,2635 w. olive ave.,burbank,818-563-2252,mexican,'587'
705,ruth's chris steak house (los angeles),224 s. beverly dr.,beverly hills,310-859-8744,steakhouses,'593'
711,uncle bill's pancake house,1305 highland ave.,manhattan beach,310-545-5177,diners,'599'
717,cafe con leche,424 amsterdam ave.,new york city,212-595-7000,cuban,'605'
723,edison cafe,228 w. 47th st.,new york city,212-840-5000,diners,'611'
729,joe's shanghai,9 pell st.,queens,718-539-3838,chinese,'617'
735,la grenouille,3 e. 52nd st.,new york city,212-752-1495,french (classic),'623'
741,monsoon (ny),435 amsterdam ave.,new york city,212-580-8686,thai,'629'
747,palm too,840 second ave.,new york city,212-697-5198,steakhouses,'635'
753,sparks steak house,210 e. 46th st.,new york city,212-687-4855,steakhouses,'641'
759,teresa's,80 montague st.,queens,718-520-2910,polish,'647'
765,wollensky's grill,205 e. 49th st.,new york city,212-753-0444,steakhouses,'653'
771,emeril's new orleans fish house,3799 las vegas blvd. s.,las vegas,702-891-7374,seafood,'659'
777,monte carlo,3145 las vegas blvd. s.,las vegas,702-733-4524,french (new),'665'
783,steakhouse  the,128 e. fremont st.,las vegas,702-382-1600,steakhouses,'671'
789,baker's cajun cafe,1134 euclid ave.,atlanta,404-223-5039,cajun/creole,'677'
795,cafe sunflower,5975 roswell rd.,atlanta,404-256-1675,health food,'683'
801,deacon burton's soulfood restaurant,1029 edgewood ave. se,atlanta,404-523-1929,southern/soul,'689'
807,havana sandwich shop,2905 buford hwy.,atlanta,404-636-4094,cuban,'695'
813,la fonda latina,4427 roswell rd.,atlanta,404-303-8201,spanish,'701'
819,nuevo laredo cantina,1495 chattahoochee ave. nw,atlanta,404-352-9009,mexican,'707'
825,silver skillet  the,200 14th st. nw,atlanta,404-874-1388,coffee shops,'713'
831,white house restaurant,3172 peachtree rd. ne,atlanta,404-237-7601,diners,'719'
837,cha cha cha's,1805 haight st.,san francisco,415-386-5758,caribbean,'725'
843,eric's chinese restaurant,1500 church st.,san francisco,415-282-0919,chinese,'731'
849,mario's bohemian cigar store cafe,2209 polk st.,san francisco,415-776-8226,italian,'737'
855,sally's cafe & bakery,300 de haro st.,san francisco,415-626-6006,american,'743'
861,trio cafe,1870 fillmore st.,san francisco,415-563-2248,american,'749'
