id,author,year,title,tech,institution,booktile,editor,booktitle,publisher,Pages,address,month,note,journal,volume,pages,type,date,
20,"B. Buth et. al.,",,"Provably Correct Compiler Implementation,",,,,in U. Karstens and P. Pfahler (eds.),"Compiler Construction,","Springer Verlag, LNCS 641,",,,,,,,pp. 141-155.,,"1992,",
21,"B. Buth et. al.,",,"Provably Correct Compiler Implementation,",,,,in U. Karstens and P. Pfahler (eds.),"Compiler Construction,","Springer Verlag, LNCS 641,",,,,,,,pp. 141-155.,,"1992,",
22,"B. Buth et. al.,",,"Provably Correct Compiler Implementation,",,,,in U. Karstens and P. Pfahler (eds.),"Compiler Construction,","Springer Verlag, LNCS 641,",,,,,,,pp. 141-155.,,"1992,",
23,"Bettina Buth, Karl-Heinz Buth, Martin Franzle, Burghard von Karger, Yassine Lakhneche, Hans Langmaack, and Markus Muller-Olm.",,Provably correct compiler development and implementation.,,,,"In U. Kastens and P. Pfahler, editors,","Compiler Construction, number 641 in Lecture Notes in Computer Science,","Springer-Verlag,",,,,,,,pages 141-155.,,1992.,
24,"Carlson, C.; L.E.Fahln.",,Integrated CSCW Tools Within a Shared 3D Virtual Environment.,,,"In Proceedings of InterCHI93 (Amsterdam). ACM,",Ed. Irene Greit:,In Computer Supported Cooperative Work: A Book of Readings.,Morgan Kaufmann.,,NY:,,,,,513,,1993.,
25,"Cramer, N. L.",,A representation for the adaptive generation of simple sequential programs.,,,,"In Grefenstette, J., editor,","Proceedings of an International Conference on Genetic Algorithms and Their Applications,",Lawrence Erlbaum Associates.,,"Hillsdale, NJ.",,,,,"pages 183-187,",,(1985).,
26,"Daelemans, W., Van den Bosch, A., and Weijters, T.",,"IG-tree: A variant of IBL. submitted. Available from request to antal@cs.rulimburg.nl Fahlman,","Technical Report CMU-CS-90-100,","School of Computer Science, Carnegie-Mellon University,",,"S. E. and Lebiere, C.",,,,"Pittsburgh, PA.",,,,,,,(1995).,
27,,,An investigation of niche and species formation in genetic function op-timization.,,,,"Deb, K. and D. Goldberg (1989).","Proceedings of the Third International Conference on Genetic Algorithms,",Morgan Kaufmann.,,,,,,,pp. 42-50.,,,
28,,,An investigation of niche and species formation in genetic function optimization.,,,,"Proceedings of the Third International Conference on Genetic Algorithms,",Morgan Kaufmann.,,,,,,,pp. 42-50.,,,
29,,,An investigation of niche and species formation in genetic function optimization.,,,,"Deb, K. and D. Goldberg","Proceedings of the Third International Conference on Genetic Algorithms,",Morgan Kaufmann.,,,,,,,pp. 42-50.,,(1989).,
30,"Dempster, A., Laird, N., and Rubin, D.",,Maximum likelihood from incomplete data via the EM algorithm.,,,,,,,,,,,"Journal of the Royal Statistical Society B,",39,1-38.,,(1977).,
31,"Dempster, A., Laird, N., and Rubin, D.",,Maximum likelihood from incomplete data via the EM algorithm.,,,,,,,,,,,"Journal of the Royal Statistical Society B,",39,1-38.,,(1977).,
32,M. Dill and M.,,,,,,,,,,,,Perception & Psychophysics (in press).,,,,,
33,M. Dill and M.,,,,,,,,,,,,Perception & Psychophysics (in press).,,,,,
34,M. Dill and M.,,,,,,Proceedings of the Royal Society London B (in press).,,,,,,,,,,,
35,M. Dill and M.,,,,,,Proceedings of the Royal Society London B (in press).,,,,,,,,,,,
36,"Dutta, S. and Shekhar, S.",,Bond rating: A non-conservative application of neural networks.,TR91-008,"Computer and Information Sciences, University of Florida",,,"In International Joint Conference on Neural Networks,",,,,,,,"volume 2,",pages 443-450.,,1988.,
37,M. Fahle and T. Poggio.,,Visual hyperacuity: spatiotemporal interpolation in human vision.,,,,,"Proceedings of the Royal Society of London, B,",,,,,,,213,"451-477,",,1981.,
38,"Fahle, M.",,"(1991) Parallel perception of vernier offsets, curvature, and chevrons in humans.",,,,,,,,,,,"Vis. Res.,",31:,2149-2184.,,,
39,"Fahle, M. W. and Edelman, S.",,Learning in hyperacuity: influence of stimulus range and of feedback.,,,,,,in press.,,,,,Vision Research.,,,,(1992).,
40,M Fahle and S Edelman.,,"Long-term learning in Vernier acuity: effects of stimulus orientation, range and of feedback.",,,,,,,,,,,"Vision Research,",33(3),"397-412,",,1993.,
41,"Fahle, M. & Edelman, S.",,"Long-term learning in vernier acuity: Effects of stimulus orientation, range and of feedback.",,,,,,,,,,,"Vision Research,","33,",397-412.,,(1993).,
42,"Fahle, M. & Edelman, S.",,,,,,,,,,,,"Vision Research,","33,",397-412.,,,
43,"Fahle, M., Edelman, S., and Poggio, T.",,Fast perceptual learning in hyperacuity.,,,,,,,,,,,"Vision Research,",35,3003-3013.,,(1995).,
44,"Fahle, M., Edelman, S., and Poggio, T.",,Fast perceptual learning in hyperacuity.,,,,,,,,,,,"Vision Research,",35,3003-3013.,,(1995).,
45,"Fahle, M., Edelman, S., and Poggio, T.",,Fast perceptual learning in hyperacuity.,,,,,,,,,,,"Vision Research,",35,3003-3013.,,(1995).,
46,"Fahle, M., Edelman, S., & Poggio, T.",,,,,,,,,,,,"Vision Research,","35,",3003-3013.,,,
47,"Fahle, M.",,"Specificity of learning curvature, orientation, and vernier discriminations.",,,,,,,,,,,"Vision Research,","37(14),",1885-1895. 66,,(1997).,
48,"Fahle, M.",,,,,,,,,,,,"Vision Research,","37(14),",1885-1895.,,,
49,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.",,A space based model for user interaction in shared synthetic environments.,,,,,"In Proceedings of Interchi '93,",,,,,,,,"pages 4348,",,April,
50,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.",,A space based model for user interaction in shared synthetic environments.,,,,,"In Proceedings of Interchi '93,",,,,,,,,"pages 43-48,",,April,
51,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.",,A space based model for user interaction in shared synthetic environments.,,,,,"In Proceedings of Interchi '93,",,,,,,,,"pages 43-48,",,April,
52,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.",,A space based model for user interaction in shared synthetic environments.,,,,,"In Proceedings of Interchi '93,",,,,,,,,"pages 43-48,",,April,
53,"Lennart E. Fahlen, Charles Grant Brown, Olov Stahl, and Christer Carlsson.",,A space based model for user interaction in shared synthetic environments.,,,,,"In Proceedings of Interchi '93,",,,,,,,,"pages 43-48,",,April,
54,"S. Fahlman,",,""A planning system for robot construction tasks,"",,,,,,,,,,,"Artificial Intelligence,","vol. 5,","pp. 1-49,",,1974.,
55,"S. Fahlman,",,""A planning system for robot construction tasks,"",,,,,,,,,,,"Artificial Intelligence,","vol. 5,","pp. 1-49,",,1974.,
56,Scott Elliott Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5(1),"1-49,",,1974.,
57,Scott Elliott Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5(1),"1-49,",,1974.,
58,"Fahlman, S. E.",,A Planning System for Robot Construction Tasks.,,,,,,,,,,,"Artificial Intelligence,","5 (1),",1-49.,,(1974).,
59,"Fahlman, S.E.",,A Planning System for Robot Construction Tasks.,,,,,,,,,,,"Artificial Intelligence,",5(1),1-49.,,1974.,
60,S. E. Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5,"1-49,",,1974.,
61,S. E. Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5,"1-49,",,1974.,
62,S.E. Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5,"1-49,",,1974.,
63,S Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5,"1-49,",,1974.,
64,S. F. Fahlman.,,A planning system for robot construction tasks.,,,,,"Artifical Intel-lignece, 5:pp.",,,,,,,,"1-49,",,1974.,
65,S. E. Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5,"1-49,",,1974.,
66,Scott Elliott Fahlman.,,A planning system for robot construction tasks.,,,,,,,,,,,"Artificial Intelligence,",5(1),"1-49,",,1974.,
67,"Fahlman, S. E.,",,"NETL: A system for representing and using real world knowledge,",,,,,,Cambridge: MIT Press.,,,,,,,,,1979.,
68,S. E. Fahlman.,,NETL: A System for Representing and Using Real World Knowledge.,,,,,,"MIT Press,",,"Cambridge MA,",,,,,,,1979.,
69,"Fahlman, S.",,NETL: A system for representing and using real world knowledge.,,,,,,MIT Press.,,,,,,,,,(1979).,
70,"Fahlman, S. E.",,NETL: A System for Representing and Using Real World Knowledge.,,,,,,"MIT Press,",,Cambridge MA.,,,,,,,(1979).,
71,"Fahlman, S. E.",,NETL: A System for Representing and Using Real World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA.",,,,,,,(1979).,
72,"Fahlman, S. E.",,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,MIT Press.,,,,,,,,,(1979).,
73,"Fahlman, S. E.",,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"The MIT Press,",,"Cambridge, MA.",,,,,,,(1979).,
74,"Fahlman, S. E.",,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"The MIT Press,",,"Cambridge, MA.",,,,,,,(1979).,
75,"Fahlman, S. E.,",,"NETL: A System for Representing and Using Real World Knowledge,",,,,,,Cambridge: MIT Press.,,,,,,,,,1979.,
76,"Fahlman, S. E.,",,"NETL: A System for Representing and Using Real World Knowledge,",,,,,,Cambridge: MIT Press.,,,,,,,,,1979.,
77,"Fahlman, S. E.,",,"NETL: A System for Representing and Using Real World Knowledge,",,,,,,Cambridge: MIT Press.,,,,,,,,,1979.,
78,"Fahlman, S. E.,",,"NETL: A System for Representing and Using Real World Knowledge, Cam-bridge:",,,,,,MIT Press.,,,,,,,,,1979.,
79,"Fahlman, S. E.,",,"NETL: A system for representing and using real world knowledge,",,,,,,Cambridge: MIT Press.,,,,,,,,,1979.,
80,"Fahlman, S.E.",,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA.",,,,,,,(1979).,
81,Scott E. Fahlman.,,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
82,S. E. Fahlman.,,NETL : a System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, Mass.,",,,,,,,1979.,
83,S.E. Fahlman.,,"NETL: A system for representing real-world knowledge,",,,,,,MIT Press.,,,,,,,,,,
84,Scott E. Fahlman.,,A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
85,Scott E. Fahlman.,,A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
86,Scott E. Fahlman.,,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
87,"S. Fahlman,",,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"The MIT Press,",,"Cambridge, Massachusetts,",,,,,,,1979.,
88,Scott E. Fahlman.,,NETL: A System for Representing Real World Knowledge.,,,,,,"MIT Press,",,,,,,,,,1979.,
89,Scott E. Fahlman.,,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
90,S. Fahlman.,,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"The MIT Press,",,"Cambridge, Mas-sachusetts,",,,,,,,1979.,
91,Scott E Fahlman.,,"NETL, A System For Representing And Using Real-World Knowledge.",,,,,,"The MIT Press,",,,,,,,,,1979.,
92,"Fahlman, S.E.,",,""NETL: A System for Representing and Using Real World Knowledge",",,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
93,S. Fahlman.,,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Massachusetts,",,,,,,,1979.,
94,S. E. Fahlman.,,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"MIT Press,",,"Cambridge, Ma,",,,,,,,1977.,
95,S.E. Fahlman.,,"NETL: A System for Representing and Using Real World Knowledge,",,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
96,S.E. Fahlman.,,NETL: A system for representing and using real-world knowledge.,,,,,,"MIT Press,",,"Cambridge, MA, U.S.A.,",,,,,,,1979.,
97,"S. Fahlman,",,"NETL: A System for Representing and Using Real World Knowledge,",,,,,,"MIT Press,",,"Cambridge, MA,",,,,,,,1979.,
98,S. Fahlman.,,NETL: A System for Representing and Using Real-World Knowledge.,,,,,,"The MIT Press,",,"Cambridge, Massachusetts,",,,,,,,1979.,
99,Scott E. Fahlman.,,Netl: A System For Representing And Using Real-World Knowledge.,,,,,,"MIT Press,",,,,,,,,,1979.,
100,Scott E. Fahlman.,,Design sketch for a million-element netl machine.,,,,,"In The First Annual Conference on Artificial Intelligence. AAAI,",,,,,,,,,,August,
101,"Fahlman, S.",,"Representing Implicit Knowledge.",,,,"In G. Hinton and J. Anderson (Eds.),",Parallel Models of Associative Memory.,Lawrence Erlbaum Associates.,,"Hillsdale, NJ:",,,,,,,(1981).,
102,"Fahlman S, Touretzky D and van Roggen W,",,"Cancellation in a Parallel Semantic Network,",,,,,"In Proc IJCAI-81,",,,Menlo Park:,,International Joint Conferences on AI.,,,"257-263,",,,
103,Scott E. Fahlman.,,Extended abstract:,,,,,"Parallel processing in artificial intelligence. Parallel Computing,",,,,,,,2,"283-286,",,1985.,
104,"Fahlman, S. & Hinton, G.",,Connectionist architectures for artificial intelligence.,,,,,,,,,,,"Computer,","20,",100-109.,,(1987).,
105,Scott E Fahlman and Geoffrey E Hinton.,,Connectionist Architectures for Artificial Intelligence.,,,,,,,,,,,"Computer,","20(1),",,,January,
106,"Fahlman, S. and Hinton, G.",,Connectionist Architectures for Artificial Intelligence.,,,,,,,,,,,"Computer,",20,100-118.,,(1987).,
107,"S. E. Fahlman,",,""Faster-Learning Variations on Back-Propagation: An Empirical Study,"",,,,"D. Touretzky, G. Hinton and T. Sejnowski, eds.,","Proc. of the 1988 Connectionist Models Summer School,","Morgan Kauffman,",,"San Mateo, CA:",,,,,"pp. 38-51,",,1989.,
108,"Fahlman, S.",,Faster-learning variations on backpropagation: An empirical study.,,,,"In Touretzky, D. , Hinton, G. , and Sejnowski, T. , (eds.),",Proc. of the Connectionist Model Summer School.,"Morgan Kaufmann,",,"San Mateo, CA.",,,,,,,(1988).,
109,"Fahlman, S. E.",,Faster-learning variations on back-propagation.,,,,"In G. E. Hinton,",T.,,,,,,,,,,(1988).,
110,"Fahlman, S. E.",,Faster-learning variations on back-propagation: an empirical study.,,,,"In Touretzky, D. S., Hinton, G., & Sejnowski, T. (Eds.),","Proceedings of the 1988 Connectionist Models Summer School,","Morgan Kaufmann,",,"San Mateo, California.",,,,,pp. 38-51.,,(1989).,
111,"Fahlman, S.E.",,Faster learning variations on backpropagation: An empirical study.,,,,,In Proc. 1988 Connectionist Models Summer School.,Morgan Kauffman,,"San Mateo, CA:",,,,,,,(1988),
112,"Fahlman, S.E.",,"`Fast-learning variations on back-propagation: An empirical study',",,,,"Touretzky, D., Hinton, G., Sejnowski, T. (eds.),","Proc. 1988 Connectionist Models Summer School,","Morgan Kaufmann,",,"San Mateo, CA:",,,,,38-51.,,(1989),
113,"Fahlman, S.E.",,Fast-Learning Variations on BackPropagation: An Empirical Study.,,,,,Proceedings of the 1988 Connectionist Models Summer School.,Morgan Kaufmann.,,,,,,,pp. 38-51.,,(1988).,
114,"Fahlman, S.E.",,Fast-learning variations on back-propagation: an empirical study.,,,,"In D. Touretzky, G. Hinton & T. Sejnowski, eds.","Proceedings of the 1988 Connectionist Models Summer School,","(Morgan Kaufman,",,"Pittsburgh, PA,",,,,,38-51,,1989.,
115,"Fahlman, S.E.",,Fast-learning variations on back-propagation: an empirical study.,,,,"In D. Touretzky, G. Hinton & T. Sejnowski, eds.","Proceedings of the 1988 Connectionist Models Summer School,","(Morgan Kaufman,",,"Pittsburgh, PA,",,,,,38-51,,1989.,
116,"Fahlman, S.E.",,Fast-learning variations on back-propagation: an empirical study.,,,,"In D. Touretzky, G. Hinton & T. Sejnowski, eds.","Proceedings of the 1988 Connectionist Models Summer School,","(Morgan Kaufman, San Mateo).",,"Pittsburgh, PA,",,,,,38-51,,1989.,
117,"Fahlman, S.E.",,Fast-learning variations on back-propagation: an empirical study.,,,,"In D. Touretzky, G. Hinton & T. Sejnowski, eds.","Proceedings of the 1988 Connectionist Models Summer School,","(Morgan Kaufman, San Mateo).",,"Pittsburgh, PA,",,,,,38-1,,1989.,
118,S. Fahlman.,,Faster learning variations on back-propagation: An empirical study.,,,,,"In Procs. of the 1988 Connectionist Models Summer School,",,,"Pittsburgh, PA,",,,,,"pages 38-51,",,1988.,
119,S.E. Fahlman.,,Fast-learning variations on back-propagation: An empirical study.,,,,"In D. Touret-zky, G. Hinton, and T. Sejnowski, editors,","Proceedings of the 1988 Connectionist Models Summer School,",Morgan Kaufmann.,,"San Mateo, 1989.",,,,,"pages 38-51,",,,
120,S. E. Fahlman.,,Faster-learning variations on back-propagation: An empirical study.,,,,,In Proceedings of the 1988 Connectionists Models Summer School.,"Morgan Kauffman Inc.,",,,,,,,,,1988.,
121,Scott E. Fahlman.,,Faster learning variations on back-propagation: An empirical study.,"Technical Report CMU-CS-88-162,","Carnegie Mellon University, School of Computer Science,",,,,,,,,120 Bibliography,,,,,September,
122,"Fahlman, S.",,E . Faster-learning variations of backpropagation : An empirical study.,,,,"In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds),","Proceedings of the 1988 Connectionist Models Summer School,",Morgan Kaufmann,,"San Mateo, CA:",,,,,"38-51,",,1988.,
123,"Fahlman, S.",,E . Faster-learning variations of backpropagation : An empirical study.,,,,"In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds),","Proceedings of the 1988 Connectionist Models Summer School,",Morgan Kaufmann,,"San Mateo, CA:",,,,,"38-51,",,1988.,
124,"Fahlman, S.",,E . Faster-learning variations of backpropagation : An empirical study.,,,,"In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds),","Proceedings of the 1988 Connectionist Models Summer School,",Morgan Kaufmann,,"San Mateo, CA:",,,,,"38-51,",,1988.,
125,"Fahlman, S. E.",,Fast-learning variations on back-propagation: An empirical study.,,,,"In Touretzky, D., Hinton, G., and Sejnowski, T., editors,","Proceedings of the 1988 Connectionist Models Summer School,","Mor-gan Kaufmann,",,"Pittsburgh, PA,",,,,,"pages 38-51,",,1989.,
126,"Fahlman, S. E.",,(1988) Faster-Learning Variations on Back-Propagation: An Empiri cal Study.,,,,"Touretzky, D., Hinton, G and Sejnowski T. (Eds.)","Proceedings of 1988 Connectionist Models Summer School,","Morgan Kaufmann,",,"San Mateo, CA,",,,,,pp. 38-51.,,,
127,S E Fahlman.,,Faster-learning variations on back-propagation: An empirical study.,,,,"In D Touretzky, G E Hinton, and T J Sejnowski, editors,","Proceedings of the 1988 Connectionist Models Summer School,","Morgan Kaufman,",,,,,,,pages 38-51.,,1988.,
128,S.E. Fahlman.,,Faster-learning Variations on Backpropagation : An Empirical Study. In T.J.,,,,"Sejnowski, G.E. Hinton, and D.S. Touretzky, editors,",in 1988 Connectionist Models Summer School.,"Morgan Kauf-mann,",,,,,,,,,1988.,
129,"Fahlman, S. E.",,Faster-learning variations of backpropagation : An empirical study.,,,,"In D. Touretzky, G. E. Hinton, and T. J Sejnowski (Eds),","Proceedings of the 1988 Connectionist Models Summer School,","Morgan Kaufmann Publishers , 38-51,",,"San Mateo, CA:",,,,,,,1988.,
130,"S. Fahlmann,",,"Faster-Learning Variations on BackPropagation: An Empirical Study,",,,,,"Proceedings of the 1988 Connectionist Models Summer School,",,,,,,,,"pp 38-51,",,1988.,
131,"S. Fahlmann,",,"Faster-Learning Variations on BackPropagation: An Empirical Study,",,,,,"Proceedings of the 1988 Connectionist Models Summer School,",,,,,,,,"pp 38-51,",,1988.,
132,"S.E. Fahlman,",,""Faster-learning Variations on Backpropagation : An Empirical Study,"",,,,"T.J. Sejnowski, G.E. Hinton, and D.S. Touretzky, Eds.","in 1988 Connectionist Models Summer School,","Mor-gan Kaufmann,",,,,,,,,,1988.,
133,"Fahlman, S.",,"Faster-Learning Variations on Back-Propagation: An Empirical Study". In:,,,,,"Proc. of the 1988 Connectionist Models Summer School,","Morgan Kaufmann,",,,,,,,,,1988,
134,S.E. Fahlman.,,Faster-learning variations on back-propagation: An empirical study.,,,,,"In Proceedings of the 1988 Connectionist Models Summer School,",,,,,,,,,,1988.,
135,"Scott E. Fahlman,",,""Faster-Learning Variations on Back-Propagation: An Empirical Study",",,,,,"in Proceedings of the 1988 Connectionist Models Summer School, Pitts-burg (1988),",Morgan Kaufmann.,,,,,,,"38-51,",,,
136,S. Fahlman.,,Faster-learning variations on backpropagation: an empirical study.,,,,"In D. Touretzky, G. Hinton, and T. Sejnowsky, editors,","Proceedings of the 1988 Connectionist Models Summer School,","Morgan-Kauffman,",,,,,,,pages 38-51.,,1988.,
137,S. Fahlman.,,Faster-learning variations on backpropagation: an empirical study.,,,,"In D. Touretzky, G. Hinton, and T. Sejnowsky, editors,","Proceedings of the 1988 Connectionist Models Summer School,","Morgan-Kauffman,",,,,,,,pages 38-51.,,1988.,
138,S. Fahlman.,,Faster-learning variations on back-propagation: An empirical study.,,"Carnegie Mellon,",,,"In Connectionist Models Summer School,",,,,,,,,,,1988.,
139,"S. E. Fahlman,",,"Faster-learning variations on back-propagation: An empirical study,",,,,,"in Proceedings of the 1988 Connectionist Models Summer School,","Morgan Kaufmann,",,,,,,,,,1988.,
140,"S. E. Fahlman,",,"Faster-learning variations on backpropagation: An empirical study,",,,,"D. S. Touretzky, G. E. Hinton, and T. J. Sejnowski,Eds.","in Proceedings of the 1988 Connectionist Models Summer School,","Morgan Kaufmann,",,"San Mateo, CA:",,,,,pp. 38-51.,,"1988,",
141,S. E. Fahlman.,,Fast-learning variations on back-propagation: An empirical study.,,,,"In D. S. Touretzky, G. E. Hinton, and Sejnowski, editors,","Connectionist Models Summer School: 1988 Proceedings,",Morgan Kaufmann.,,,,,,"pages 38-51,",,,
142,S. E.,,"Fahlman (1988): Faster-Learning Variations on Back-Propagation: An Empirical Study,",,,,,"in Proceedings of the 1988 Connectionist Summer School,",Morgan Kauf-mann.,,,,,,,,,,
143,S. E.,,"Fahlman (1988): Faster-Learning Variations on BackPropagation: An Empirical Study,",,,,,"in Proceedings of the 1988 Connectionist Models Summer School,",Morgan Kauf-mann.,,,,,,,,,,
144,"Fahlman, S.E.",,"Fast Learning Variations on Backpropagation: An Empirical Study,",,,,"Eds. D.S. Touretzky, G. Hinton and T.","In proceedings of the 1988 Connectionist Models Summer School,","Sejnowski,",,San Mateo:,,,,,"pp. 38-51,",,"(1989),",
145,"Scott Fahlman,",,""Faster-Learning Variations on Back Propagation: An Empirical Study,"",,,,,In Proceedings of the 1988 Connectionist Models Summer School.,"Morgan Kaufmann,",,,,,,,,,1988.,
146,"S.E. Fahlman,",,"An empirical study of learning speed in backpropagation networks,","Technical Report CMU-CS-88-162,",,,,,,,,,,,,,,
147,Scott E. Fahlman.,,An empirical study of learning speed in back-propagation networks.,"Technical Report CMU-CS-88-162,","School of Computer Science, Carnegie Mellon University,",,,,,,"Pittsburgh, PA,",,,,,,,September,
